"Job ID","Description","State","Start Time","Elapsed Time","User"
"train_aks-d5711a57914a44bfbf903071cc2fb1d7","train-3","Running","6/15/2022","-"," huandinh2022"
"train_aks-d5711a57914a44bfbf903071cc2fb1d7","compress-1","Success","6/15/2022","2 s"," huandinh2022"
"train_aks-d5711a57914a44bfbf903071cc2fb1d7","RB-FEA","Solve","Success","29 m, 12 s"," huandinh2022"
"train_aks-d5711a57914a44bfbf903071cc2fb1d7","compress-2","Success","6/15/2022","1 s"," huandinh2022"
"train_aks-e1c69e69ef7d4508a58daab9edc5f094","compress-1","Success","6/15/2022","2 s"," huandinh2022"
"train_aks-e1c69e69ef7d4508a58daab9edc5f094","RB-FEA","Solve","Success","10 m, 0 s"," huandinh2022"
"train_aks-e1c69e69ef7d4508a58daab9edc5f094","compress-2","Success","6/15/2022","1 s"," huandinh2022"
"train_aks-e1c69e69ef7d4508a58daab9edc5f094","train-3","Success","6/15/2022","10 m, 35 s"," huandinh2022"
"train_aks-46e8a8a6b7534b84b6416f9444804571","compress-1","Failure","6/15/2022","3 s"," huandinh2022"
"train_aks-29dd2b9901d047aca220e93d033094aa","compress-1","Failure","6/15/2022","7 s"," huandinh2022"
"train_aks-35f2adebd98b4442ba3e321ab4f1677e","compress-1","Failure","6/15/2022","3 s"," huandinh2022"
"train_aks-36dbfb5618eb40bfbe6b184152c24c3e","compress-1","Failure","6/15/2022","3 s"," huandinh2022"
"train_aks-d49ee8c7e92d4bdda25e1918bdb95e59","compress-1","Success","6/15/2022","2 s"," huandinh2022"
"train_aks-d49ee8c7e92d4bdda25e1918bdb95e59","RB-FEA","Solve","Success","24 m, 53 s"," huandinh2022"
"train_aks-d49ee8c7e92d4bdda25e1918bdb95e59","compress-2","Success","6/15/2022","2 s"," huandinh2022"
"train_aks-d49ee8c7e92d4bdda25e1918bdb95e59","train-3","Success","6/15/2022","25 m, 31 s"," huandinh2022"
"train_aks-bab37d2ffd114d578771b683945bc9c9","RB-FEA","Solve","Failure","7 m, 50 s"," huandinh2022"
"train_aks-bab37d2ffd114d578771b683945bc9c9","compress-1","Success","6/15/2022","2 s"," huandinh2022"
"train_aks-f93fa7742fbe460bbc53185d82f8013a","compress-1","Success","6/15/2022","0 s"," huandinh2022"
"train_aks-f93fa7742fbe460bbc53185d82f8013a","RB-FEA","Solve","Success","6 m, 31 s"," huandinh2022"
"train_aks-f93fa7742fbe460bbc53185d82f8013a","compress-2","Success","6/15/2022","2 s"," huandinh2022"
"train_aks-f93fa7742fbe460bbc53185d82f8013a","train-3","Success","6/15/2022","11 m, 18 s"," huandinh2022"
"train_aks-f978a8aaa18f4dff940f6bf75801fc6a","compress-1","Success","6/15/2022","0 s"," huandinh2022"
"train_aks-f978a8aaa18f4dff940f6bf75801fc6a","RB-FEA","Solve","Success","6 m, 41 s"," huandinh2022"
"train_aks-f978a8aaa18f4dff940f6bf75801fc6a","compress-2","Success","6/15/2022","2 s"," huandinh2022"
"train_aks-f978a8aaa18f4dff940f6bf75801fc6a","train-3","Success","6/15/2022","10 m, 56 s"," huandinh2022"
"train_aks-ecd2eaf80445476593999d3f41c17bc2","compress-1","Success","6/15/2022","1 s"," huandinh2022"
"train_aks-ecd2eaf80445476593999d3f41c17bc2","RB-FEA","Solve","Success","54 s"," huandinh2022"
"train_aks-ecd2eaf80445476593999d3f41c17bc2","compress-2","Success","6/15/2022","3 s"," huandinh2022"
"train_aks-ecd2eaf80445476593999d3f41c17bc2","train-3","Success","6/15/2022","1 m, 17 s"," huandinh2022"
"train_aks-2d7f7f23326840f3a8cd33913f08f5e3","compress-1","Success","6/15/2022","2 s"," huandinh2022"
"train_aks-2d7f7f23326840f3a8cd33913f08f5e3","RB-FEA","Solve","Success","1 m, 1 s"," huandinh2022"
"train_aks-2d7f7f23326840f3a8cd33913f08f5e3","compress-2","Success","6/15/2022","2 s"," huandinh2022"
"train_aks-2d7f7f23326840f3a8cd33913f08f5e3","train-3","Success","6/15/2022","53 s"," huandinh2022"
"train_aks-faa637232fbe482391c6f979438b2d1b","compress-1","Success","6/15/2022","0 s"," huandinh2022"
"train_aks-faa637232fbe482391c6f979438b2d1b","RB-FEA","Solve","Success","2 m, 22 s"," huandinh2022"
"train_aks-faa637232fbe482391c6f979438b2d1b","compress-2","Success","6/15/2022","2 s"," huandinh2022"
"train_aks-faa637232fbe482391c6f979438b2d1b","train-3","Success","6/15/2022","2 m, 12 s"," huandinh2022"
