"collection_id","Description","State","Start Time","Elapsed Time","User"
"127PB_Phase_3_full_model_v2","train_aks-d5711a57914a44bfbf903071cc2fb1d7","Running","6/15/2022","29 m, 17 s"," huandinh2022"
"127PB_Phase_3_full_model_v2","train_aks-e1c69e69ef7d4508a58daab9edc5f094","Success","6/15/2022","20 m, 49 s"," huandinh2022"
"127PB_Phase_3_full_model_v2","train_aks-46e8a8a6b7534b84b6416f9444804571","Failure","6/15/2022","3 s"," huandinh2022"
"127PB_Phase_3_full_model_v2","train_aks-29dd2b9901d047aca220e93d033094aa","Failure","6/15/2022","7 s"," huandinh2022"
"127PB_Phase_3_full_model_v2","train_aks-35f2adebd98b4442ba3e321ab4f1677e","Failure","6/15/2022","3 s"," huandinh2022"
"127PB_Phase_3_full_model_v2","train_aks-36dbfb5618eb40bfbe6b184152c24c3e","Failure","6/15/2022","3 s"," huandinh2022"
"127PB_Phase_3_full_model_v2","train_aks-d49ee8c7e92d4bdda25e1918bdb95e59","Success","6/15/2022","50 m, 37 s"," huandinh2022"
"127PB_Phase_3_full_model_v2","train_aks-bab37d2ffd114d578771b683945bc9c9","Failure","6/15/2022","7 m, 55 s"," huandinh2022"
"127PB_Phase_3_full_model_v2","train_aks-f93fa7742fbe460bbc53185d82f8013a","Success","6/15/2022","18 m, 0 s"," huandinh2022"
"127PB_Phase_3_full_model_v2","train_aks-f978a8aaa18f4dff940f6bf75801fc6a","Success","6/15/2022","17 m, 49 s"," huandinh2022"
"127PB_Phase_3_full_model_v2","train_aks-ecd2eaf80445476593999d3f41c17bc2","Success","6/15/2022","2 m, 24 s"," huandinh2022"
"127PB_Phase_3_full_model_v2","train_aks-2d7f7f23326840f3a8cd33913f08f5e3","Success","6/15/2022","2 m, 7 s"," huandinh2022"
"127PB_Phase_3_full_model_v2","train_aks-faa637232fbe482391c6f979438b2d1b","Success","6/15/2022","4 m, 45 s"," huandinh2022"
"127PB_Phase_3_full_model_v2","train_aks-4de11586bcfc4e7b9485d8df0a3705c5","Success","6/15/2022","2 m, 9 s"," huandinh2022"
"127PB_Phase_3_full_model_v2","train_aks-8dd021c14ba147aa8f600906725b5528","Success","6/15/2022","4 m, 53 s"," huandinh2022"
"127PB_Phase_3_full_model_v2","train_aks-9a9f7f471f7f4c51b1d00e1803da0161","Success","6/15/2022","2 m, 6 s"," huandinh2022"
"127PB_Phase_3_full_model_v2","train_aks-07cc8f91e107441dbdda1bf058e9b881","Success","6/15/2022","4 m, 52 s"," huandinh2022"
"127PB_Phase_3_full_model_v2","train_aks-0c3e26ae0172497f8836528af31d4f84","Success","6/15/2022","59 s"," huandinh2022"
"127PB_Phase_3_full_model_v2","train_aks-9ff9e295dfd640cfa6ba69f4174cc0a7","Success","6/15/2022","4 m, 44 s"," huandinh2022"
"127PB_Phase_3_full_model_v2","train_aks-ace08dc322b146458800ff140afaf210","Success","6/15/2022","2 m, 9 s"," huandinh2022"
"127PB_Phase_3_full_model_v2","train_aks-a5085bef176e418c94aaa4b7d58dcfb2","Success","6/15/2022","4 m, 49 s"," huandinh2022"
"127PB_Phase_3_full_model_v2","train_aks-f26ce79d089542beaa7f9723f12a3a94","Success","6/15/2022","2 m, 3 s"," huandinh2022"
"127PB_Phase_3_full_model_v2","train_aks-c419d24e6a874bc696769397ac2aa968","Success","6/15/2022","4 m, 41 s"," huandinh2022"
"127PB_Phase_3_full_model_v2","train_aks-cc603305c63d4608b2a4e5386667ac79","Success","6/15/2022","2 m, 8 s"," huandinh2022"
"127PB_Phase_3_full_model_v2","train_aks-295abf018a46452cb076b6f7a971dbf5","Success","6/15/2022","4 m, 50 s"," huandinh2022"
"127PB_Phase_3_full_model_v2","train_aks-71df1b24759149be9673f104d38e02ae","Success","6/15/2022","2 m, 4 s"," huandinh2022"
"127PB_Phase_3_full_model_v2","train_aks-50db31cc5e2942d3be9f510a39a34931","Success","6/15/2022","4 m, 40 s"," huandinh2022"
"127PB_Phase_3_full_model_v2","train_aks-1ab9977479684c4392e44d491d502ecb","Success","6/15/2022","2 m, 4 s"," huandinh2022"
"127PB_Phase_3_full_model_v2","train_aks-5dd5091029584f12a9f6d497fff30ad9","Success","6/15/2022","4 m, 49 s"," huandinh2022"
"127PB_Phase_3_full_model_v2","train_aks-fa1ff2f594344c3faf3e8be7429946d4","Success","6/15/2022","2 m, 3 s"," huandinh2022"
